# StructLab CSV - 2D 2-bay x 2-storey moment frame
# Units: SI. 2D model: all z=0 -> Y is vertical, downward load = Fy<0.
# Beam members carry I (bending). HEB220 columns, IPE360 beams.
#NODES
id,x,y,z
1,0,0,0
2,6,0,0
3,12,0,0
4,0,3.5,0
5,6,3.5,0
6,12,3.5,0
7,0,7,0
8,6,7,0
9,12,7,0
#MEMBERS
id,node_i,node_j,etype,group,E,A,I,Iy,J,fy,density
1,1,4,beam,Column,2.1e+11,0.009104,8.091e-05,2.843e-05,9.1e-07,3.55e+08,7850
2,2,5,beam,Column,2.1e+11,0.009104,8.091e-05,2.843e-05,9.1e-07,3.55e+08,7850
3,3,6,beam,Column,2.1e+11,0.009104,8.091e-05,2.843e-05,9.1e-07,3.55e+08,7850
4,4,7,beam,Column,2.1e+11,0.009104,8.091e-05,2.843e-05,9.1e-07,3.55e+08,7850
5,5,8,beam,Column,2.1e+11,0.009104,8.091e-05,2.843e-05,9.1e-07,3.55e+08,7850
6,6,9,beam,Column,2.1e+11,0.009104,8.091e-05,2.843e-05,9.1e-07,3.55e+08,7850
7,4,5,beam,Beam,2.1e+11,0.007273,0.0001627,1.043e-05,1.21e-07,3.55e+08,7850
8,5,6,beam,Beam,2.1e+11,0.007273,0.0001627,1.043e-05,1.21e-07,3.55e+08,7850
9,7,8,beam,Beam,2.1e+11,0.007273,0.0001627,1.043e-05,1.21e-07,3.55e+08,7850
10,8,9,beam,Beam,2.1e+11,0.007273,0.0001627,1.043e-05,1.21e-07,3.55e+08,7850
#SUPPORTS
node,rx,ry,rz
1,1,1,1
2,1,1,1
3,1,1,1
#FORCES
node,Fx,Fy,Fz
4,0,-20000,0
5,0,-20000,0
6,0,-20000,0
7,0,-20000,0
8,0,-20000,0
9,0,-20000,0
7,15000,0,0
