# StructLab CSV - 2D Pratt truss bridge
# Units: SI. 2D model: all z=0 -> Y is vertical, downward load = Fy<0.
# Bars only; member groups by role.
#NODES
id,x,y,z
1,0,0,0
2,2,0,0
3,4,0,0
4,6,0,0
5,8,0,0
6,10,0,0
7,12,0,0
8,0,2,0
9,2,2,0
10,4,2,0
11,6,2,0
12,8,2,0
13,10,2,0
14,12,2,0
#MEMBERS
id,node_i,node_j,etype,group,E,A,fy,density
1,1,2,bar,Bottom chord,2.1e+11,0.004544,3.55e+08,7850
2,8,9,bar,Top chord,2.1e+11,0.004544,3.55e+08,7850
3,2,3,bar,Bottom chord,2.1e+11,0.004544,3.55e+08,7850
4,9,10,bar,Top chord,2.1e+11,0.004544,3.55e+08,7850
5,3,4,bar,Bottom chord,2.1e+11,0.004544,3.55e+08,7850
6,10,11,bar,Top chord,2.1e+11,0.004544,3.55e+08,7850
7,4,5,bar,Bottom chord,2.1e+11,0.004544,3.55e+08,7850
8,11,12,bar,Top chord,2.1e+11,0.004544,3.55e+08,7850
9,5,6,bar,Bottom chord,2.1e+11,0.004544,3.55e+08,7850
10,12,13,bar,Top chord,2.1e+11,0.004544,3.55e+08,7850
11,6,7,bar,Bottom chord,2.1e+11,0.004544,3.55e+08,7850
12,13,14,bar,Top chord,2.1e+11,0.004544,3.55e+08,7850
13,8,1,bar,Vertical,2.1e+11,0.004544,3.55e+08,7850
14,9,2,bar,Vertical,2.1e+11,0.004544,3.55e+08,7850
15,10,3,bar,Vertical,2.1e+11,0.004544,3.55e+08,7850
16,11,4,bar,Vertical,2.1e+11,0.004544,3.55e+08,7850
17,12,5,bar,Vertical,2.1e+11,0.004544,3.55e+08,7850
18,13,6,bar,Vertical,2.1e+11,0.004544,3.55e+08,7850
19,14,7,bar,Vertical,2.1e+11,0.004544,3.55e+08,7850
20,1,9,bar,Diagonal,2.1e+11,0.004544,3.55e+08,7850
21,2,10,bar,Diagonal,2.1e+11,0.004544,3.55e+08,7850
22,3,11,bar,Diagonal,2.1e+11,0.004544,3.55e+08,7850
23,5,11,bar,Diagonal,2.1e+11,0.004544,3.55e+08,7850
24,6,12,bar,Diagonal,2.1e+11,0.004544,3.55e+08,7850
25,7,13,bar,Diagonal,2.1e+11,0.004544,3.55e+08,7850
#SUPPORTS
node,rx,ry,rz
1,1,1,1
7,1,1,1
#FORCES
node,Fx,Fy,Fz
2,0,-25000,0
3,0,-25000,0
4,0,-25000,0
5,0,-25000,0
6,0,-25000,0
