# Lecture 37 - 3D space frame (truss), converted for StructLab. SI units, Z up.
# Source: Vertices.csv / Edges.csv / Force-Data.csv / Restraint-Data.csv + notebook constants
# E = 200 GPa, A = 0.005 m2 for every member; bars (pin-pin, axial only).
#NODES
id,x,y,z
1,30,30,18.36679268
2,4.5,1.5,16.50143433
3,3,3,15.00143528
4,3,0,15.00143528
5,4.5,4.5,16.50143433
6,30,27,18.36679268
7,4.5,10.5,16.50143433
8,33,30,18.72397995
9,0,12,15.00143528
10,1.5,4.5,16.50143433
11,0,0,15.00143528
12,0,3,15.00143528
13,3,9,15.00143528
14,1.5,1.5,16.50143433
15,3,6,15.00143528
16,1.5,7.5,16.50143433
17,0,9,15.00143528
18,0,6,15.00143528
19,1.5,10.5,16.50143433
20,6,12,15.00143528
21,3,12,15.00143528
22,3,15,15.00143528
23,6,18,15.00143528
24,1.5,16.5,16.50143433
25,0,15,15.00143528
26,1.5,13.5,16.50143433
27,28.5,22.5,19.68169403
28,0,18,15.00143528
29,28.5,25.5,19.68169403
30,3,18,15.00143528
31,4.5,19.5,16.50143433
32,0,24,15.00143528
33,0,21,15.00143528
34,1.5,19.5,16.50143433
35,3,21,15.00143528
36,6,21,15.00143528
37,31.5,22.5,20.10785675
38,33,21,18.72397995
39,1.5,25.5,16.50143433
40,1.5,22.5,16.50143433
41,3,24,15.00143528
42,4.5,25.5,16.50143433
43,30,21,18.36679268
44,0,30,15.00143528
45,1.5,28.5,16.50143433
46,0,27,15.00143528
47,3,27,15.00143528
48,4.5,28.5,16.50143433
49,3,30,15.00143528
50,9,0,15.0663929
51,6,3,15.00143528
52,6,0,15.00143528
53,9,3,15.0663929
54,7.5,4.5,16.51169014
55,9,15,15.0663929
56,9,9,15.0663929
57,31.5,19.5,20.10785675
58,6,9,15.00143528
59,30,18,18.36679268
60,7.5,7.5,16.51169014
61,6,6,15.00143528
62,4.5,7.5,16.50143433
63,31.5,16.5,20.10785675
64,9,12,15.0663929
65,6,15,15.00143528
66,9,18,15.0663929
67,4.5,16.5,16.50143433
68,4.5,13.5,16.50143433
69,30,15,18.36679268
70,31.5,7.5,20.10785675
71,9,24,15.0663929
72,30,9,18.36679268
73,9,21,15.0663929
74,7.5,22.5,16.51169014
75,9,27,15.0663929
76,4.5,22.5,16.50143433
77,6,24,15.00143528
78,31.5,10.5,20.10785675
79,33,15,18.72397995
80,6,27,15.00143528
81,7.5,28.5,16.51169014
82,6,30,15.00143528
83,12,0,15.31658077
84,10.5,1.5,16.67745972
85,33,3,18.72397995
86,31.5,1.5,20.10785675
87,12,3,15.31658077
88,10.5,4.5,16.67745972
89,12,15,15.31658077
90,33,0,18.72397995
91,12,9,15.31658077
92,28.5,28.5,19.68169403
93,7.5,1.5,16.51169014
94,9,6,15.0663929
95,30,6,18.36679268
96,7.5,10.5,16.51169014
97,30,12,18.36679268
98,12,6,15.31658077
99,28.5,10.5,19.68169403
100,30,3,18.36679268
101,7.5,16.5,16.51169014
102,7.5,13.5,16.51169014
103,10.5,16.5,16.67745972
104,30,0,18.36679268
105,27,0,17.89334488
106,7.5,19.5,16.51169014
107,27,3,17.89334488
108,10.5,22.5,16.67745972
109,25.5,7.5,19.16111374
110,7.5,25.5,16.51169014
111,10.5,25.5,16.67745972
112,25.5,13.5,19.16111374
113,25.5,16.5,19.16111374
114,10.5,28.5,16.67745972
115,9,30,15.0663929
116,28.5,1.5,19.68169403
117,28.5,4.5,19.68169403
118,13.5,10.5,17.01204872
119,25.5,4.5,19.16111374
120,28.5,7.5,19.68169403
121,13.5,7.5,17.01204872
122,10.5,7.5,16.67745972
123,10.5,10.5,16.67745972
124,15,12,15.7136507
125,12,12,15.31658077
126,27,15,17.89334488
127,28.5,13.5,19.68169403
128,28.5,16.5,19.68169403
129,10.5,13.5,16.67745972
130,13.5,13.5,17.01204872
131,13.5,16.5,17.01204872
132,12,18,15.31658077
133,27,18,17.89334488
134,15,24,15.7136507
135,10.5,19.5,16.67745972
136,12,21,15.31658077
137,15,21,15.7136507
138,28.5,19.5,19.68169403
139,15,27,15.7136507
140,30,24,18.36679268
141,12,24,15.31658077
142,12,27,15.31658077
143,13.5,28.5,17.01204872
144,12,30,15.31658077
145,16.5,1.5,17.47158051
146,15,3,15.7136507
147,15,0,15.7136507
148,16.5,4.5,17.47158051
149,18,15,16.21373177
150,16.5,10.5,17.47158051
151,25.5,22.5,19.16111374
152,13.5,4.5,17.01204872
153,15,9,15.7136507
154,13.5,1.5,17.01204872
155,15,6,15.7136507
156,18,12,16.21373177
157,18,6,16.21373177
158,15,15,15.7136507
159,18,18,16.21373177
160,27,30,17.89334488
161,25.5,28.5,19.16111374
162,15,18,15.7136507
163,16.5,19.5,17.47158051
164,24,27,17.34744644
165,13.5,19.5,17.01204872
166,25.5,25.5,19.16111374
167,16.5,22.5,17.47158051
168,18,27,16.21373177
169,13.5,25.5,17.01204872
170,13.5,22.5,17.01204872
171,24,24,17.34744644
172,16.5,25.5,17.47158051
173,22.5,22.5,18.58998489
174,27,27,17.89334488
175,15,30,15.7136507
176,21,0,16.77295303
177,19.5,1.5,18.01218224
178,18,3,16.21373177
179,18,0,16.21373177
180,21,3,16.77295303
181,27,21,17.89334488
182,19.5,10.5,18.01218224
183,22.5,19.5,18.58998489
184,27,24,17.89334488
185,18,9,16.21373177
186,25.5,19.5,19.16111374
187,19.5,7.5,18.01218224
188,24,18,17.34744644
189,16.5,7.5,17.47158051
190,21,12,16.77295303
191,21,6,16.77295303
192,24,15,17.34744644
193,16.5,16.5,17.47158051
194,16.5,13.5,17.47158051
195,19.5,13.5,18.01218224
196,19.5,16.5,18.01218224
197,27,6,17.89334488
198,27,12,17.89334488
199,18,21,16.21373177
200,27,9,17.89334488
201,25.5,10.5,19.16111374
202,18,24,16.21373177
203,25.5,1.5,19.16111374
204,16.5,28.5,17.47158051
205,19.5,28.5,18.01218224
206,18,30,16.21373177
207,24,0,17.34744644
208,22.5,1.5,18.58998489
209,22.5,16.5,18.58998489
210,22.5,4.5,18.58998489
211,22.5,10.5,18.58998489
212,24,9,17.34744644
213,19.5,4.5,18.01218224
214,21,9,16.77295303
215,22.5,13.5,18.58998489
216,24,12,17.34744644
217,22.5,7.5,18.58998489
218,24,6,17.34744644
219,21,15,16.77295303
220,24,3,17.34744644
221,21,18,16.77295303
222,19.5,19.5,18.01218224
223,21,21,16.77295303
224,24,21,17.34744644
225,19.5,25.5,18.01218224
226,19.5,22.5,18.01218224
227,21,24,16.77295303
