# StructLab CSV - 3D double-layer space-frame roof
# Units: SI. 3D: Z = UP, downward load = Fz<0.
# Bars only; bottom/top chords + web pyramids.
#NODES
id,x,y,z
1,0,0,0
2,3,0,0
3,6,0,0
4,0,3,0
5,3,3,0
6,6,3,0
7,0,6,0
8,3,6,0
9,6,6,0
10,1.5,1.5,1.5
11,4.5,1.5,1.5
12,1.5,4.5,1.5
13,4.5,4.5,1.5
#MEMBERS
id,node_i,node_j,etype,group,E,A,fy,density
1,1,2,bar,Bottom chord,2.1e+11,0.004544,3.55e+08,7850
2,2,3,bar,Bottom chord,2.1e+11,0.004544,3.55e+08,7850
3,4,5,bar,Bottom chord,2.1e+11,0.004544,3.55e+08,7850
4,5,6,bar,Bottom chord,2.1e+11,0.004544,3.55e+08,7850
5,7,8,bar,Bottom chord,2.1e+11,0.004544,3.55e+08,7850
6,8,9,bar,Bottom chord,2.1e+11,0.004544,3.55e+08,7850
7,1,4,bar,Bottom chord,2.1e+11,0.004544,3.55e+08,7850
8,2,5,bar,Bottom chord,2.1e+11,0.004544,3.55e+08,7850
9,3,6,bar,Bottom chord,2.1e+11,0.004544,3.55e+08,7850
10,4,7,bar,Bottom chord,2.1e+11,0.004544,3.55e+08,7850
11,5,8,bar,Bottom chord,2.1e+11,0.004544,3.55e+08,7850
12,6,9,bar,Bottom chord,2.1e+11,0.004544,3.55e+08,7850
13,10,11,bar,Top chord,2.1e+11,0.004544,3.55e+08,7850
14,12,13,bar,Top chord,2.1e+11,0.004544,3.55e+08,7850
15,10,12,bar,Top chord,2.1e+11,0.004544,3.55e+08,7850
16,11,13,bar,Top chord,2.1e+11,0.004544,3.55e+08,7850
17,10,1,bar,Web diagonal,2.1e+11,0.004544,3.55e+08,7850
18,10,2,bar,Web diagonal,2.1e+11,0.004544,3.55e+08,7850
19,10,5,bar,Web diagonal,2.1e+11,0.004544,3.55e+08,7850
20,10,4,bar,Web diagonal,2.1e+11,0.004544,3.55e+08,7850
21,11,2,bar,Web diagonal,2.1e+11,0.004544,3.55e+08,7850
22,11,3,bar,Web diagonal,2.1e+11,0.004544,3.55e+08,7850
23,11,6,bar,Web diagonal,2.1e+11,0.004544,3.55e+08,7850
24,11,5,bar,Web diagonal,2.1e+11,0.004544,3.55e+08,7850
25,12,4,bar,Web diagonal,2.1e+11,0.004544,3.55e+08,7850
26,12,5,bar,Web diagonal,2.1e+11,0.004544,3.55e+08,7850
27,12,8,bar,Web diagonal,2.1e+11,0.004544,3.55e+08,7850
28,12,7,bar,Web diagonal,2.1e+11,0.004544,3.55e+08,7850
29,13,5,bar,Web diagonal,2.1e+11,0.004544,3.55e+08,7850
30,13,6,bar,Web diagonal,2.1e+11,0.004544,3.55e+08,7850
31,13,9,bar,Web diagonal,2.1e+11,0.004544,3.55e+08,7850
32,13,8,bar,Web diagonal,2.1e+11,0.004544,3.55e+08,7850
#SUPPORTS
node,rx,ry,rz
1,1,1,1
3,1,1,1
9,1,1,1
7,1,1,1
#FORCES
node,Fx,Fy,Fz
10,0,0,-15000
11,0,0,-15000
12,0,0,-15000
13,0,0,-15000
