# StructLab CSV - 3D barrel-vault double-layer space frame (78 x 30 m plan, 6 m module)
# Units: SI. Z = UP, downward load = Fz<0. Bars only (pin-jointed, axial forces).
# Concept follows the Lecture 37 space-frame roof: square-on-square offset grid, parabolic
# vault along X (springing z=15 m, rise 4 m), 4 m deep, carried on 4 corner tripod legs.
# Centred on the origin. Groups: Bottom chord / Top chord / Web / Leg. 20 kN per top node.
#NODES
id,x,y,z
1,-39,-15,15
2,-33,-15,16.136
3,-27,-15,17.083
4,-21,-15,17.84
5,-15,-15,18.408
6,-9,-15,18.787
7,-3,-15,18.976
8,3,-15,18.976
9,9,-15,18.787
10,15,-15,18.408
11,21,-15,17.84
12,27,-15,17.083
13,33,-15,16.136
14,39,-15,15
15,-39,-9,15
16,-33,-9,16.136
17,-27,-9,17.083
18,-21,-9,17.84
19,-15,-9,18.408
20,-9,-9,18.787
21,-3,-9,18.976
22,3,-9,18.976
23,9,-9,18.787
24,15,-9,18.408
25,21,-9,17.84
26,27,-9,17.083
27,33,-9,16.136
28,39,-9,15
29,-39,-3,15
30,-33,-3,16.136
31,-27,-3,17.083
32,-21,-3,17.84
33,-15,-3,18.408
34,-9,-3,18.787
35,-3,-3,18.976
36,3,-3,18.976
37,9,-3,18.787
38,15,-3,18.408
39,21,-3,17.84
40,27,-3,17.083
41,33,-3,16.136
42,39,-3,15
43,-39,3,15
44,-33,3,16.136
45,-27,3,17.083
46,-21,3,17.84
47,-15,3,18.408
48,-9,3,18.787
49,-3,3,18.976
50,3,3,18.976
51,9,3,18.787
52,15,3,18.408
53,21,3,17.84
54,27,3,17.083
55,33,3,16.136
56,39,3,15
57,-39,9,15
58,-33,9,16.136
59,-27,9,17.083
60,-21,9,17.84
61,-15,9,18.408
62,-9,9,18.787
63,-3,9,18.976
64,3,9,18.976
65,9,9,18.787
66,15,9,18.408
67,21,9,17.84
68,27,9,17.083
69,33,9,16.136
70,39,9,15
71,-39,15,15
72,-33,15,16.136
73,-27,15,17.083
74,-21,15,17.84
75,-15,15,18.408
76,-9,15,18.787
77,-3,15,18.976
78,3,15,18.976
79,9,15,18.787
80,15,15,18.408
81,21,15,17.84
82,27,15,17.083
83,33,15,16.136
84,39,15,15
85,-36,-12,19.592
86,-30,-12,20.633
87,-24,-12,21.485
88,-18,-12,22.148
89,-12,-12,22.621
90,-6,-12,22.905
91,0,-12,23
92,6,-12,22.905
93,12,-12,22.621
94,18,-12,22.148
95,24,-12,21.485
96,30,-12,20.633
97,36,-12,19.592
98,-36,-6,19.592
99,-30,-6,20.633
100,-24,-6,21.485
101,-18,-6,22.148
102,-12,-6,22.621
103,-6,-6,22.905
104,0,-6,23
105,6,-6,22.905
106,12,-6,22.621
107,18,-6,22.148
108,24,-6,21.485
109,30,-6,20.633
110,36,-6,19.592
111,-36,0,19.592
112,-30,0,20.633
113,-24,0,21.485
114,-18,0,22.148
115,-12,0,22.621
116,-6,0,22.905
117,0,0,23
118,6,0,22.905
119,12,0,22.621
120,18,0,22.148
121,24,0,21.485
122,30,0,20.633
123,36,0,19.592
124,-36,6,19.592
125,-30,6,20.633
126,-24,6,21.485
127,-18,6,22.148
128,-12,6,22.621
129,-6,6,22.905
130,0,6,23
131,6,6,22.905
132,12,6,22.621
133,18,6,22.148
134,24,6,21.485
135,30,6,20.633
136,36,6,19.592
137,-36,12,19.592
138,-30,12,20.633
139,-24,12,21.485
140,-18,12,22.148
141,-12,12,22.621
142,-6,12,22.905
143,0,12,23
144,6,12,22.905
145,12,12,22.621
146,18,12,22.148
147,24,12,21.485
148,30,12,20.633
149,36,12,19.592
150,-36,-12,0
151,-36,12,0
152,36,-12,0
153,36,12,0
#MEMBERS
id,node_i,node_j,etype,group,E,A,fy,density
1,1,2,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
2,2,3,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
3,3,4,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
4,4,5,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
5,5,6,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
6,6,7,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
7,7,8,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
8,8,9,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
9,9,10,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
10,10,11,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
11,11,12,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
12,12,13,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
13,13,14,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
14,15,16,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
15,16,17,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
16,17,18,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
17,18,19,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
18,19,20,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
19,20,21,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
20,21,22,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
21,22,23,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
22,23,24,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
23,24,25,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
24,25,26,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
25,26,27,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
26,27,28,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
27,29,30,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
28,30,31,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
29,31,32,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
30,32,33,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
31,33,34,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
32,34,35,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
33,35,36,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
34,36,37,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
35,37,38,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
36,38,39,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
37,39,40,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
38,40,41,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
39,41,42,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
40,43,44,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
41,44,45,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
42,45,46,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
43,46,47,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
44,47,48,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
45,48,49,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
46,49,50,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
47,50,51,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
48,51,52,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
49,52,53,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
50,53,54,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
51,54,55,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
